companyID,mID,name
517,0090357,Industrial Light & Magic (ILM)
518,17024632,HYBE
519,0365847,JCE Movies
520,0365847,China Film Group Corporation (CFGC)
521,2837574,Condé Nast Publications
522,2837574,Endgame Entertainment
523,0169473,Asatsu-DK
524,0169473,Dynamic Planning
525,0169473,Toei Animation
526,2122313,RMV Film
527,4210080,Bungalow Media + Entertainment
528,4210080,Lighthouse Pictures
529,4210080,Sapphire Fire Limited
530,10944486,Yale Productions
531,10944486,Media Finance Capital
532,10944486,Idiot Savant Pictures
533,2326204,Adnuco Pictures
534,5540188,Atmo Production
535,5540188,Ostlicht Filmproduktion
536,5540188,Final Cut for Real
537,2923316,Glacier Films
538,2923316,NGN Productions
539,0210945,Jerry Bruckheimer Films
540,0210945,Run It Up Productions Inc.
541,0210945,Technical Black
542,12399056,Voice Pictures
543,12399056,775 Media Corp
544,1440728,Greenlit Rights
545,1440728,Smokehouse Pictures
546,11343494,CBS Television Studios
547,11343494,Spartina Productions
548,0293416,Bandai Visual Company
549,0293416,DENTSU Music And Entertainment
550,0293416,Imagica Corp.
551,2049543,Soapbox Films
552,2049543,POP Films
553,1398426,New Line Cinema
554,4575512,Kennedy Miller Mitchell
555,0116745,CiBy 2000
556,0116745,Sandcastle 5 Productions
557,0260866,NPV Entertainment
558,15430628,Alibaba Pictures
559,15430628,Beijing Hairun Pictures Company
560,15430628,HG Entertainment Film Company
561,16418896,Berlanti Productions
562,16418896,Warner Bros. Television
563,9072352,Carver Films
564,9072352,AGBO
565,1885325,DRC Productions
566,1731708,Mondo TV
567,1731708,Play Entertainment
568,1731708,R.T.I.
569,6873692,Rebellion Developments Ltd.
570,6873692,Rebellion Productions
571,1620449,Constantin Film
572,1686812,Masterpiece
573,6967966,Ubisoft Montreal
574,0072886,George Pal Productions
575,2365580,Annapurna Pictures
576,2365580,Detour Filmproduction
577,0095016,Gordon Company
578,0095016,Silver Pictures
579,5459168,Etamp Film Production
580,5459168,HBO Europe
581,5459168,Nutprodukce
582,0089274,New Realm Entertainments
583,0089274,VTC
584,0902290,Glass Eye Pix
585,3881026,Black Lion Pictures
586,3881026,Frozen Flame Pictures
587,3881026,Bad Beaver Productions
588,0120689,Darkwoods Productions
589,0056869,Alfred J. Hitchcock Productions
590,0078915,Chuck Jones Enterprises
591,1551630,Imprint Entertainment
592,1551630,Most Films
593,1551630,Extravaganza Entertainment
594,2041331,Aeroplano
595,2041331,La.Lune Entertainment
596,2004420,Good Universe
597,2004420,Point Grey Pictures
598,9075388,ACE Pictures Entertainment
599,1900893,GAGA.
600,1900893,Himizu Film Partners
601,1900893,Kôdansha
602,1878942,Dude Productions
603,1878942,Laurence Mark Productions
604,0101258,In-Gear Film
605,8342680,Ingenious Media
606,8342680,Wonderful Films
607,3748256,Pixar Animation Studios
608,15773254,AMPLE
609,15773254,Hyperobject Industries
610,0099484,Iberoamericana Films Internacional
611,0099484,Apricot
612,6814914,Pyramide Productions
613,6814914,Blonde Audiovisual Productions
614,1324059,Dharma Productions
615,0066214,Goodtimes Enterprises
616,0087884,Road Movies Filmproduktion
617,0087884,Argos Films
618,0087884,Westdeutscher Rundfunk (WDR)
619,4565520,Creative Wealth Media Finance
620,0058405,Hammer Films
621,0252462,"Riviera Hotel, Las Vegas"
622,0252462,Independent Network (INI)
623,0252462,David McLane Enterprises
624,0117397,Alien Productions
625,0117397,Patchett Kaufman Entertainment
626,0117397,Paul Fusco Productions
627,3602976,AMC Studios
628,3602976,Scott Free Productions
629,6679794,Sigma Films
630,6679794,Clockwork Sessions
631,0075620,Estudios Churubusco Azteca S.A.
632,0075620,Panorama Films
633,0101669,Mirage Enterprises
634,7493366,Cleopatra Entertainment
635,1861225,British Broadcasting Corporation (BBC)
636,13060796,Miss Juliet Productions
637,0067334,Cinema Center Films
638,0067334,Solar Productions
639,2563158,Big Talk Productions
640,4885916,Fu Jian Heng ye Film Distribution CO.
641,4885916,Gold Valley Films
642,9218128,Parkes/MacDonald Image Nation
643,0450843,120 Films
644,0450843,La Chauve Souris
645,0450843,StudioCanal
646,0295914,Naughty Dog
647,0295914,Universal Interactive Studios
648,15470214,20th Television Animation
649,15470214,Fox Entertainment
650,15470214,Fuzzy Door Productions
651,5439812,Gigi Films
652,5439812,Ramona Films
653,0845746,Haddock Entertainment
654,0845746,Watcher Films (II)
655,11364112,Hillman Grad
656,11364112,Media Res
657,5235880,Balaji Motion Pictures
658,3748918,"Coverage, Ink"
659,10431262,Encourage Films
660,0081249,Time Life Films
661,7369550,El Ride Productions
662,7369550,Fry Cook Productions
663,2535470,Guerilla Films
664,11349196,Network Movie
665,0101615,Alive Films
666,0101615,Capella
667,0101615,Koppelmann/Bandier-Carnegie Pictures
668,2401798,Vault Media
669,0063678,Aetos Produzioni Cinematografiche
670,0063678,B.R.C. Produzione S.r.l.
671,0080486,Eurociné
672,0080486,J.E. Films (Julian Esteban Films)
673,0080486,Lisa-Film
674,12446086,Bat in the Sun Productions
675,12446086,Legend of the White Dragon
676,2162709,Warner Premiere
677,5651338,die Film GmbH
678,0082085,Filmways Pictures
679,0082085,Geria Productions
680,15331908,BFI Film Fund
681,15331908,Ghost Wolf Productions
682,5769154,DC Entertainment
683,5769154,Frame Machine
684,5769154,NetherRealm Studios
685,0346491,Intermedia Films
686,0346491,Pacifica Film
687,1340773,Gato Negro Films
688,0097770,White Eagle
689,0097770,Carolco Pictures
690,9652888,DeVan Clan Productions
691,0091341,Mosfilm
692,1540133,Reprisal Films
693,1540133,Element Pictures
694,1540133,Hindsight Media
695,0120390,Rysher Entertainment
696,5121816,El Bar Producciones
697,5121816,Atresmedia Cine
698,0054567,AP Films (APF)
699,0054567,Incorporated Television Company (ITC)
700,0051063,Marquette Productions Ltd.
701,4920450,Dschoint Ventschr Filmproduktion AG
702,4920450,IV Films
703,4920450,Ma.Ja.De Filmproduktion
704,3103620,Upward Rising Development
705,9707580,Captcha Entertainment
706,9707580,Rolling Thunder Films
707,9707580,Escape Plan Pictures
708,0055894,Allied Artists Pictures
709,0055894,Security Pictures Ltd.
710,0164917,Studio 4°C
711,0164917,Tokyo Broadcasting System (TBS)
712,0110889,PolyGram Filmed Entertainment
713,0119196,Enchanter Entertainment
714,0119196,Island Pictures
715,1085779,Bold Films
716,1085779,The Hole
717,1095217,Pressman Film
718,1095217,Saturn Films
719,0144714,Chum Television
720,0144714,Davis-Panzer Productions
721,0144714,Fireworks Entertainment
722,7034108,Obsidian Entertainment
723,1630029,20th Century Studios
724,0372532,26 Films
725,0372532,Visionview Production
726,0347791,4 Kids Entertainment
727,0347791,Pikachu Project 2002
728,1458674,Klasky-Csupo
729,1458674,McDonald's Corporation
730,0437863,Happy Madison Productions
731,0067500,Interfilme
732,0067500,Plata Films S.A.
733,0762125,TriStar Pictures
734,0762125,Ilion Animation Studios
735,0762125,HandMade Films
736,8110232,Chase Films
737,8110232,HBO Films
738,8110232,Home Box Office (HBO)
739,1104123,ApolloMovie Beteiligungs
740,1104123,Film Afrika Worldwide
741,0059635,Seven Arts Productions
742,12226808,The Asylum
743,0078308,Charles Fries Productions
744,0086525,Atlantic Entertainment Group
745,0086525,Valley 9000 Productions
746,1778346,VersaceEntertainment
747,1389137,LBI Entertainment
748,1389137,Vinyl Films
749,0926762,Woestijnvis
750,3528666,WWE Studios
751,0077975,Oregon Film Factory
752,0077975,Stage III Productions
753,0291341,The Ruddy Morgan Organization
754,0291341,Brad Grey Pictures
755,0406310,Universal Animation Studios
756,6902676,Altitude Film Entertainment
757,6902676,Four Knights Film
758,6902676,Hyperion Media Group
759,8888656,Woodcut Media
760,8888656,Sky Television
761,0111252,Buckeye Films
762,0111252,Swelter Films
763,14362698,Eagle Pictures
764,9054192,AGC Studios
765,9054192,Marquee Entertainment
766,9054192,Red Hour Films
767,3629520,Anime International Company (AIC)
768,3629520,Artmic
769,0099108,Shapiro-Glickenhaus Entertainment
770,0026663,Metro-Goldwyn-Mayer (MGM)
771,1674782,Overbrook Entertainment
772,3513548,Appian Way
773,3513548,Misher Films
774,3513548,75 Year Plan Productions
775,4738776,Buffalo 8 Productions
776,4738776,The Bubble Factory
777,0460810,Bristol Bay Productions
778,0460810,Playtone
779,0460810,Great Buck Productions
780,3977848,Fuse Box Films
781,3977848,Slice Production Studios
782,0430770,Picturehouse
783,0430770,Scion Films
784,0430770,Inferno Distribution
785,2180271,Sveriges Television (SVT)
786,2180271,Matador Film
787,2180271,Danmarks Radio (DR)
788,0401398,Disneytoon Studios
789,0317648,Casey Silver Productions
790,0317648,Dune Films
791,0082509,Guardian Trust Company
792,0082509,Canadian Film Development Corporation (CFDC)
793,1135503,Easy There Tiger Productions
794,1135503,Scott Rudin Productions
795,0077065,Mark VII Ltd.
796,0077065,Worldvision
797,0482572,Solaris
798,0482572,O'Connor Brothers
799,4905554,Australian Broadcasting Corporation (ABC)
800,4905554,Easy Tiger Productions
801,4905554,Essential Media & Entertainment
802,0361693,Lions Gate Films
803,0361693,Capital Arts Entertainment
804,0068282,American International Pictures (AIP)
805,0068282,Four Associates
806,0084887,Battletruck Films
807,0084887,WingNut Films
808,0893509,Rigel Entertainment
809,0893509,First Look International
810,0893509,Pneumatic Pictures
811,0053611,Roger Corman Productions
812,0069715,Amicus Productions
813,0482374,Working Title Films
814,0482374,Australian Film Finance Corporation (AFFC)
815,5513260,Rainmaker Animation & Visual Effects
816,5513260,Sony Pictures Animation
817,0363668,The Greenblatt Janollari Studio
818,0058530,Aubrey Schenck Productions
819,2090883,Tele München Fernseh Produktionsgesellschaft (TMG)
820,2090883,Entertainment Factory Film- und Fernsehproduktions GmbH
821,2090883,ARD Werbung
822,0041162,Sam Katzman Productions
823,0080641,Juniper Films
824,8561690,Instituto Nacional de Cine y Artes Audiovisuales (INCAA)
825,8561690,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)
826,8561690,Mediapro
827,3176418,Tippett Studio
828,0185014,Mutual Film Company
829,0185014,British Broadcasting Corporation (BBC)
830,0185014,Marubeni
831,0858492,Sri Keerthi Creations
832,0086036,Canadian Film Development Corporation (CFDC)
833,0086036,Famous Players Limited
834,0064665,Jerome Hellman Productions
835,0064665,Florin Productions
836,0102862,Wyn-Ray Entertainment
837,6851660,AA Studio
838,6851660,ARD/ZDF
839,6851660,Studio 100 Animation
840,3289712,MM Productions
841,3289712,Merced Media Partners
842,3289712,PalmStar Media
843,2490326,SpectreVision
844,0109446,Alcor Films
845,1212974,Bombshell Pictures
846,0354356,Fidélité Productions
847,0354356,France 2 Cinéma
848,0354356,FOZ
849,2131644,Epona Films
850,1046997,40 Acres & A Mule Filmworks
851,1046997,On My Own
852,1046997,Rai Cinema
853,8385474,Walden Media
854,8385474,Reliance Entertainment
855,6443526,Bungie Studios
856,6443526,Origami Digital
857,6443526,Weta Digital
858,2101441,Muse Productions
859,2101441,Division Films
860,2101441,O' Salvation
861,0119887,Papazian-Hirsch Entertainment International
862,0161083,Metro-Goldwyn-Mayer (MGM)
863,0161083,Turman/Morrissey Company
864,0161083,Hyde Park Entertainment
865,1010271,Brothers Dowdle Productions
866,1010271,Poughkeepsie Films
867,18765420,Candy Bar Productions
868,18765420,Full Moon Empire
869,10126434,Irony Point
870,10126434,Scare me
871,10126434,Artists First
872,6490930,Wild Media Entertainment
873,6490930,Hawkeye Pictures
874,0054067,Galatea Film
875,0054067,Jolly Film
876,14342730,Film New Wave
877,0171356,Fortis Films
878,0089200,Ghoulies Productions
879,5534434,ArieScope Pictures
880,5534434,IncitefulMedia
881,12550376,Picaro Films
882,12550376,Checkluck Films
883,12550376,Freebie Films
884,0362942,Tandem Communications
885,0362942,Tandem Productions
886,0362942,Unified Film Organization (UFO)
887,7089878,Kyoto Animation
888,7089878,Bandai Namco Arts
889,7089878,Pony Canyon
890,0120241,Live Entertainment
891,0120241,Dinamo Entertainment
892,0120241,Eyes 'n Rice
893,0403407,Roc Media
894,0403407,Sensible Films
895,0403407,Spice Factory
896,1340094,Hassell Free Production
897,1340094,Davis-Films
898,15214902,Silver Peak Productions
899,3688342,Wee Buns
900,3688342,Ripple World Pictures
901,3688342,Entertainment One
902,3696720,Levens
903,3696720,Sea to Sky Entertainment
904,12882620,Blumhouse Television
905,13152186,Picture Perfect
906,0220261,Danmarks Radio (DR)
907,0115759,Mark Gordon Productions
908,0115759,WCG Entertainment Productions
909,14112080,4 Leagues Media
910,2980210,X-Filme Creative Pool
911,2980210,22h22
912,2980210,Fábrica de Cine
913,7339862,Scythia Films
914,7339862,Social Construct
915,0295178,Gratitude International
916,0295178,Team Todd
917,5198890,Endeavor Content
918,5198890,Film4
919,5198890,Likely Story
920,0421206,Columbia Pictures Industries
921,0421206,Visual Arts Entertainment
922,0145660,Moving Pictures (I)
923,0036696,Metro-Goldwyn-Mayer (MGM)
924,15181094,Lotte Cultureworks
925,11057644,1492 Pictures
926,11057644,Wonder Worldwide
927,0072271,Vortex
928,1253864,Virgin Produced
929,1253864,Mark Canton Productions
930,8595586,Duea Film
931,8595586,Ruggente Film
932,3893620,Sreda
933,14408016,Studio S
934,14408016,United Artist Agency
935,0350774,Anchor Bay Entertainment
936,0350774,Ambush Entertainment
937,0350774,Goal Line Productions
938,4185364,Tyler Perry Studios
939,4185364,Bento Box Entertainment
940,0184894,Roger Birnbaum Productions
941,0217107,Rainforest Films
942,0217107,Rainforest Productions
943,0217107,TRF Productions
944,9603082,Saul Projects
945,9603082,Taylor Swift Productions
946,11460508,Hat Trick Productions
947,0050143,Hollywood International Pictures
948,0072239,Finiton Productions
949,0107302,Viacom Productions
950,0107302,Propaganda Films
951,9272568,Kaos Entertainment
952,1828970,FilmEngine
953,1828970,Marc Platt Productions
954,8707436,Hammerstone Studios
955,8707436,Turbo Panda Productions
956,13130838,Sea and Sky Pictures
957,14115938,Nexus
958,0422720,Pricel
959,0422720,Tohokushinsha Film Corporation (TFC)
960,9000224,3311 Productions
961,9000224,Bellmer Pictures
962,9000224,Cinereach
963,2390791,FremantleMedia
964,2390791,Bravado Productions
965,0417503,MGA Entertainment
966,0098492,Gainax
967,0098492,Victor Entertainment
968,10998174,ROP Productions
969,0120738,Saltire Entertainment
970,0120738,Irwin Allen Productions
971,4925292,IAC Films
972,4925292,Entertainment 360
973,1031280,ContentFilm International
974,1031280,Magnet Releasing
975,1031280,Indion Entertainment Group
976,7040874,Feigco Entertainment
977,0052893,Como Films
978,0052893,Daiei Studios
979,0120780,Jersey Films
980,9861332,BBC TV
981,0449092,Catchlight Films
982,0322645,Sunrise
983,0325655,Film Workshop
984,0325655,Applause Pictures
985,0325655,Mediacorp Raintree Pictures
986,5144174,Made Up Stories
987,5144174,Arenamedia
988,5144174,Cornerstone Films
989,0050147,Los Altos Productions
990,10933680,Compound B
991,10933680,DC2 Productions
992,10933680,Leverage Film Funding
993,12015102,Kiccha Creations
994,12015102,Shalini Artss
995,13186604,Industry Entertainment
996,1186370,Barbarian Films
997,1186370,Katalyst Films
998,1186370,Oceana Media Finance
999,4112470,Ríkisútvarpið-Sjónvarp (RÚV)
1000,16150204,Player First Games
1001,16150204,Warner Bros. Games
1002,0064546,Filmové studio Barrandov
1003,0377713,Mad Circus Films
1004,0377713,Lions Gate Entertainment
1005,0377713,Mr. X
1006,0092493,Rimfire Films
1007,5372890,FLX
1008,11274100,Legion M
1009,6032812,Hunter 11 Films
1010,6032812,Iervolino & Lady Bacardi Entertainment
1011,6032812,Iervolino Entertainment
1012,6476140,Blue Budgie Films Limited
1013,6476140,Global Road Entertainment
1014,0095655,MJJ Productions
1015,0095655,Ultimate Productions
1016,0095655,Will Vinton Studios
1017,0432348,Twisted Pictures
1018,0432348,Evolution Entertainment
1019,0432348,Got Films
1020,1320296,Gunslinger
1021,1320296,Gateway Films
1022,8387464,Potato Eater Productions
1023,8387464,SRS Cinema
1024,0086618,Seagoat Films
1025,0086618,Hemdale
1026,0086618,Cinema '84
1027,0094061,Concorde Pictures
1028,0065481,American International Pictures (AIP)
1029,0366777,Pathé Pictures International
1030,1748207,Skyscraper Films
1031,0075936,Charm City Productions
1032,0118607,Home Box Office (HBO)
1033,2719848,RVK Studios
1034,12466076,Tims & B Productions
